formulaire029-equation019	h_{00}(t) = 2t^3-3t^2+1
TrainData2_22_sub_6	x_{i} - x_{i + 1} + x_{i + 2}
MfrDB2770	{3^{x}} - {2^{x}}
MfrDB0533	2 + 2
200923-131-168	 { b } ^ { m } 
2009212-1031-110	 { \mbox { d } = \sqrt { \mbox { x } } } 
RIT_2014_60	 3 x + 1 = A (x + 1) + B x 
RIT_2014_162	 \frac {\sum ^ {m} _ {i = 0} b ^ {i} s ^ {i}} {\sum ^ {n} _ {i = 0} a ^ {i} s ^ {i}} 
formulaire020-equation074	\int \frac{1}{h(y)} dy = \int g(x) dx
MfrDB1556	\frac{5 x - 7}{3} \leq 2 x + 5
124_em_396	E=\frac{a}{\frac bc}
95_Nina	b= c \sin B = c \cos A
117_em_210	F_{-n}(x)=-\frac 1{n-1}x^{-n+1} + Cste = -\frac1{n-1}\frac 1{x^{n-1}}
200924-1312-78	 \frac { x_1 } { \frac { x_2 } { \frac { x_3 } { x_4 } } } 
109_edwin	\sqrt[x]{\frac{a}{b}} = \frac{\sqrt[x]{a}}{\sqrt[x]{b}}
MfrDB1525	\frac{{( | a | - | b | )^{2}}}{| a - b |}
TrainData2_3_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
formulaire029-equation026	\int_a^b {x + z dz}
formulaire010-equation024	a_{1,j}
200922-949-238	 { x - \int \mbox { F } d \lambda } 
rit_42190_2	 \phi ^ {3} + 3 \phi ^ {2} + 18 \phi + 5 + 12 
118_em_246	I_{1_{max}}
formulaire036-equation008	\sum_{k=1}^n k = \frac{n(n+1)}{2}
2009210-947-41	 { \mbox { e } - { \mbox { N } } _ { \mbox { L } } } 
2009213-139-1	 \int _ { 0 } ^ { \infty } \frac { z } { \sqrt { z ^ 3 + 14 } } d z 
MfrDB3375	| a + i b | = \sqrt{{x^{2}} + {y^{2}}}
formulaire046-equation023	\frac{3\pi}{7}
MfrDB1303	| \sin z | = \sqrt{1 - \cos^{2} z}
KME2G3_25_sub_38	\frac 2 {\frac {3 m - 2 n \times 9^n - 9^m} {2 n - 1}}
200923-1553-259	 { Y } _ { \mbox { d } } 
2009213-139-18	 a ^ x + b ^ x + \frac { c } { 2 } 
200924-1312-76	 a 
MfrDB1473	\int\limits_{0}^{\infty} \frac{\sin^{2} x}{{x^{2}}} dx = \frac{\pi}{2}
200925-1126-164	 \mbox { i } 
KME1G3_7_sub_29	( a^2 + b^2 ) ( c^2 + d^2 ) \geq ( a c + b d )^2
TrainData2_17_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
2009210-947-229	 3.1 
formulaire008-equation002	\theta_1,\ldots,\theta_g
formulaire039-equation050	(62 \times (144 - 55)) \times ((143 \times 162) - 32) \geq 127653411
90_herbert	y = r \sin \theta
formulaire017-equation034	a(t+1)
2009213-137-172	 { \mbox { y } + t } 
TrainData1_4_sub_21	A = \sqrt{a + \frac{1}{\sqrt{a + \frac{1}{\sqrt{a}}}}} + \sqrt{b}
formulaire016-equation056	yz=zy
28_em_143	[ [S] ]=[S]
MfrDB3136	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
32_em_219	E_1 < E < E_2
2009212-952-112	 \left ( { 9 - 0 } \right ) 
200923-1556-125	 \left ( { 3 + \mbox { g } } \right ) 
TrainData2_20_sub_95	\sqrt{1 + \sqrt{2 + \sqrt{3 + \sqrt{4}}}}
2009213-137-195	 \left ( \left [ X \right ] \right ) 
106_em_106	\frac{1}{2{\pi}i}\int_{c-i\infty}^{c+i\infty}g(s)t^{s}=\pi(t)
TrainData2_10_sub_51	\lim_{x \rightarrow \frac{\pi}{2} + 0} \tan x = - \infty
MfrDB2994	\frac{3 x + y}{z} = ( \frac{A - 1}{{x^{2}} + {y^{2}}} )
formulaire039-equation044	nm^2
formulaire023-equation046	a+b+c=0
200923-1556-168	 { \mbox { af } } _ { \mbox { Y } } 
formulaire023-equation012	60 \times 0,3127=18,672
2009213-139-133	 \sqrt { { \mu } _ { \mbox { k } } } 
11_em_91	\Delta L
200923-1254-340	 \mbox { d } 
formulaire027-equation024	e^{\alpha t}\cos\beta t
KME1G3_6_sub_25	\int_1^2 ( \frac {x^2 - 1} {x^2} ) e^{x + \frac 1 x} d x
formulaire021-equation015	((57 + 88) \div 45) \times ((104 + 171) \div 77) \geq 11
75_david	c^2 = a^2 + b^2 - 2ab \cos C
formulaire031-equation006	\log_a b = \frac{\log_c b}{\log_c a}
MfrDB1938	\frac{( x + 3 ) ( x - 5 )}{3 ( x - 1 )} \gt 0
MfrDB0596	y = {x^{2}} - 3
101_carlos	S = \Bigg( \sum_{i=1}^{n} \theta_i - (n-2)\pi \Bigg)r^2
formulaire005-equation055	((98 + 150) + (76 \div 16)) + ((97 \div 92) \times 151) \neq 326
formulaire025-equation057	o(1)
200924-1312-195	 { 3 n } 
127_Nina	n! -1
rit_42150_0	 3 ^ {3 ^ {3}} + 3 
formulaire023-equation032	p_c = \frac{a}{27b^2}
200923-131-36	 1 + \frac { \sqrt { a ^ 2 + 1 + b } } { 3 } 
KME2G3_29_sub_26	x_1 \times x_2 \times x_3 \times x_4 = X
200922-1017-132	 { \mbox { H } } _ { \mbox { r } } 
MfrDB2682	11 + 12 = 3
504_em_38	-\frac{\sin(n \pi)}{n \pi} + \frac{\sin(n \pi)}{n \pi}
200924-1312-276	 \sum { \mbox { X } } 
200926-1550-80	 e ^ { \int x ^ 2 d x } 
200922-949-60	 \frac { \beta + \gamma } { \theta } 
200926-1550-15	 \mbox { Hej } 
formulaire051-equation023	(x+2)^3-(x-1)^3 = 0
formulaire023-equation007	t(z) = \frac{h_3 h_1}{h_3 h_0 - h_2 h_1} + \frac{h_3^2}{h_3 h_0 - h_2 h_1} z^{-1}
MfrDB2158	1 + \tan^{2} y = \frac{1}{\cos^{2} y}
MfrDB3820	A ( x ) = \frac{1}{x} + \frac{1}{{x^{2}}} + B ( x )
formulaire027-equation073	\gamma^0=\beta
formulaire035-equation017	t_{ik}
formulaire056-equation051	10^2-1
MfrDB1475	\int\limits_{0}^{1} \frac{{x^{3}}}{{e^{x}} - 1} dx = \frac{{\pi^{4}}}{15}
200923-1556-131	 \sqrt { \mbox { L } } 
MfrDB2015	E = E_{k} + E_{p}
MfrDB3441	\int\limits_{0}^{\infty} f ( x ) dx = \lim_{b \to \infty} \int\limits_{0}^{b} f ( x ) dx
2009213-139-120	 \frac { \mbox { k } } { { \sqrt { { \mbox { g } + \frac { \mbox { X } } { \mbox { z } } } } } ^ { { \mbox { R } - \sqrt { l } } } } 
formulaire036-equation052	x_{k+1}= x_{k}+\alpha_{k} p_{k}
formulaire017-equation073	b(1)
200924-1331-196	 { \cdots + \left ( r \right ) } 
37_em_6	y^\prime (x)
formulaire027-equation065	46 \pm 172 \div (36 \div (146 \div 149))
MfrDB3388	h ( x , y ) = {x^{y + \frac{1}{y}}}
2009210-947-220	 L 
TrainData2_1_sub_20	a + b + c + d + e
200924-1331-225	 \sqrt { \left [ E \right ] } 
MfrDB1136	y = \frac{- a \pm \sqrt{{b^{2}} - 4 a c}}{2 a}
rit_4250_1	 b ^ {x} 
rit_42105_0	 a + 6 \sqrt {2} 
formulaire027-equation054	\beta = \frac{v}{c}= \frac{b}{a}
formulaire041-equation046	x=a+id
MfrDB2272	\sqrt[5]{55}
TrainData2_0_sub_11	\sqrt{x - y - z + x^{2} + y^{2} + z^{2}}
formulaire015-equation022	f_j(e_i)
116_em_174	VdP = -nPdV
formulaire006-equation072	\phi=\frac{\pi}{2p}
formulaire015-equation008	x^2-29y^2 = 1
MfrDB0401	14 - 2
RIT_2014_133	 0 \leq x \leq 2 \Pi 
MfrDB3324	a_{n} = a_{1} + ( n - 1 ) d
2009212-952-80	 e ^ { \int x ^ 2 d x } 
200922-949-8	 \int \frac { \sin \left ( x \right ) + 1 } { \sqrt { \cos ^ 3 \left ( x \right ) + \tan \left ( x \right ) } } d x 
formulaire022-equation062	u(x-x_0) + v(y-y_0)= 0
200926-131-26	 a + \frac { \sqrt { b + c } } { 2 } 
TrainData2_21_sub_43	\frac{2 \tan \alpha}{1 - \tan^{2} \alpha}
110_leissi	\frac{1}{\frac{1}{2}\Big( \frac{1}{a} + \frac{1}{b}\Big)} = \frac{2ab}{a+b}
TrainData2_11_sub_39	\sin x - \sin y - \sin \left( x - y \right)
116_em_180	\frac{P_i}{\gamma}+\frac{V_i^2}{2g}-\frac{P_v}{\gamma}
MfrDB1015	{( a + b )^{2}} = {a^{2}} + {b^{2}} + 2 a b
127_em_494	Li(x) \lt \pi(x)
MfrDB2026	\sum_{m = 0}^{M} \sum_{n = 0}^{N} a_{m , n}
2009213-139-179	 \left ( 5.0 \right ) 
TrainData2_8_sub_17	x_{1} - x_{2} + y_{1} - y_{2} + z_{1} - z_{2}
formulaire032-equation018	27a_4a_1^2-72a_4a_2a_0+2a_2^3-9a_3a_2a_1+27a_3^2a_0=0
MfrDB2546	f ( x , y ) = \frac{x}{y} + x y
502_em_9	\beta=1
formulaire013-equation028	2^{10}
formulaire001-equation002	(t, x, y, z) = x^a
MfrDB0285	2 + {2^{2}}
200923-1251-82	 \sum { { C - \mbox { h } } } 
MfrDB2995	\lim_{y \to \infty} y \sin ( \frac{c}{y} ) = c
formulaire011-equation002	(1 + \alpha^{-1}\beta)^{-1} = \sum_{i=0}^{\infty} (-1)^{i}(\alpha^{-1}\beta)^{i}
200923-1251-9	 4 
formulaire035-equation004	k_{ij}
200922-947-123	 { \sin } ^ { \mbox { Y } } 8 
516_em_390	\frac{a}{b}
formulaire001-equation001	\phi(x)
TrainData2_4_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
200923-1253-15	 4 
TrainData2_20_sub_9	\sqrt{b^{2} - 4 a c}
formulaire019-equation059	j=\frac{g_2^3}{g_2^3-27g_3^2}
200923-1556-20	 \frac { \sin \left ( x \right ) } { \cos \left ( x \right ) } = \tan \left ( x \right ) 
TrainData2_5_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
2009213-137-211	 { \mbox { u } } _ { \theta } 
MfrDB3266	{( x + 1 )^{n + 1}} = ( x + 1 ) {( x + 1 )^{n}}
formulaire042-equation068	\frac{1}{\sqrt{a}}=\sqrt{\frac{1}{a}}
200923-1251-146	 \frac { \mbox { r } } { P } 
2009210-947-185	 02 
TrainData2_4_sub_20	a + b + c + d + e
RIT_2014_120	 \sqrt {67} 
formulaire013-equation011	a \pm i b
MfrDB0757	x + 2 = 10
MfrDB3024	g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}
200923-1556-155	 0.4 
10_em_89	T \in E
MfrDB1808	{( a )^{- 1}} - 1
MfrDB1724	E_{k} = \frac{1}{2} m_{1} {v_{1}^{2}} + \frac{1}{2} m_{2} {v_{2}^{2}}
formulaire008-equation008	(2-1-1)
20_em_38	Y_{t+1}
118_Fabricio	P(x) = \sum_{i=0}^{n} a_j x^j
RIT_2014_59	 F ^ {3} 
formulaire012-equation020	179 - 169 - 96 + 151 \geq 64
RIT_2014_67	 x + 2 + \sqrt {3} 
MfrDB1425	1 + 1 = 2
formulaire020-equation060	95 + ((138 \div 36) \div (86 \div 131)) \leq 101
formulaire018-equation051	a_{n}(x)
formulaire019-equation033	351 = 3^3\times 13
MfrDB2350	| \sin z | = \sqrt{1 - \cos^{2} z}
MfrDB2143	\frac{{T_{1}^{2}}}{{T_{2}^{2}}} = \frac{{a_{1}^{3}}}{{a_{2}^{3}}}
formulaire003-equation062	a p_0+b q_0 = 1
formulaire023-equation019	\lim_{n \rightarrow +\infty} (u_n) = 0
200923-1251-247	 { \mbox { z } - \left ( \theta \right ) } 
2009213-139-116	 { \mbox { M } + \left [ \mbox { H } \right ] } 
118_em_222	E = \sqrt{p^2c^2 + m^2c^4}
TrainData2_20_sub_73	\alpha_{n + 1} - 3 \beta = \frac{2}{3} \alpha_{n} + \beta - 3 \beta
2009210-947-7	 \sum _m f \left ( m + 3 \right ) 
KME1G3_9_sub_25	\int_1^2 ( \frac {x^2 - 1} {x^2} ) e^{x + \frac 1 x} d x
MfrDB1901	\frac{5 x - 7}{3} \leq 2 x + 5
200923-131-147	 \frac { z } { { \mbox { i } } _ { \mbox { m } } } 
2009212-1031-30	 \left [ s \right ] 
TrainData2_11_sub_71	\frac{\sin B + \sin C}{\cos B + \cos C}
130_bruno	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
KME1G3_3_sub_26	\sin ( \alpha + \beta ) \sin ( \alpha - \beta ) = \sin^2 \alpha - \sin^2 \beta
MfrDB2807	x \lt \frac{c - b}{a}
formulaire046-equation036	\sin(x+y)
formulaire028-equation074	a = m = \frac{n_2}{n_1}
KME2G3_30_sub_35	\log_2 \frac 1 2 + \log_4 \frac 2 4
200925-1126-120	 { - \sum { \mbox { T } } } 
formulaire026-equation038	b-(a-b)
formulaire018-equation016	f(x) = y_a + (x-x_a) \frac{y_b-y_a}{x_b-x_a}
formulaire013-equation037	x_i = x_0 + ih
509_em_98	\sigma_p = \sqrt {\sigma_p^2}
126_em_452	||f||^2 = \frac {1}{4} a_0^2 +\frac {1}{2} \sum_{n=1}^{+\infty}(a_n^2+b_n^2)
formulaire033-equation025	((41  59) \times 173) - 133 = -12.78
TrainData2_19_sub_46	\lim_{x \rightarrow - 1} \frac{x^{3} + 1}{x + 1}
formulaire007-equation033	c_1=a_{11}
127_em_501	\frac{\mathrm d}{\mathrm dt}
formulaire009-equation029	x_i=ih+x_0
formulaire022-equation057	(-\sin\phi\cos\theta,-\sin\phi\sin\theta,\cos\phi)
200924-1312-61	 k ^ 3 + 14 k ^ 2 - 132 k + 1789 
200922-1017-53	 \sqrt { \mbox { E } } 
200925-1126-130	 \sum { \mbox { v } } 
formulaire027-equation028	\sqrt{a +b}
36_em_28	12 \div 3
80_rosario	\frac{1}{r^2} = \frac{1}{(R - m)^2} + \frac{1}{(R + m)^2}
RIT_2014_29	 - 7 
200923-1253-99	 { - \mbox { i } } 
KME1G3_9_sub_21	A = \sqrt {a + \frac 1 {\sqrt {a + \frac 1 {\sqrt a}}}} + \sqrt b
formulaire004-equation070	0 \pm 145 - 35
KME2G3_16_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
formulaire026-equation064	{e^t}X_t
formulaire025-equation013	\cos^2\phi+\sin^2\phi = 1
200924-1312-164	 \frac { \left [ \mbox { F } \right ] } { { \mbox { a } - H } } 
RIT_2014_154	 \frac {1} {9} 
RIT_2014_4	 \sin x - x \cos x 
formulaire036-equation018	a_{k+1}
formulaire020-equation040	144 \div (6 \times 124) \geq 0
200922-949-14	 a + \sqrt { \frac { b + c } { d + f } } 
200926-131-156	 \mbox { C } 
formulaire026-equation046	\pi+e
MfrDB2899	\lim_{n \to \infty} \frac{1}{{n^{p}}} = 0
MfrDB2962	{( 1 + x )^{r}} \geq 1 + r x
formulaire027-equation036	2\cos^2(\frac x2)
TrainData2_23_sub_49	1 + \frac{1}{1 !} + \frac{1}{2 !} + \frac{1}{3 !} + \frac{1}{4 !}
MfrDB0009	y = a \cdot \sin ( 2 \pi f t )
formulaire035-equation066	x^{-1} = \frac{1}{x}
rit_4245_0	 \frac {b !} {b} 
formulaire017-equation047	(q_k, p_k)
formulaire039-equation053	\alpha = 3
118_carlos	P(x) = \sum_{i=0}^{n} a_j x^j
MfrDB1534	\sqrt{x} = 1 {0^{( \log x )  2}}
200923-1553-160	 9.1 
2009210-947-137	 \tan \mbox { h } 
MfrDB3227	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
formulaire025-equation036	\sqrt{a^{2}}
130_carlos	\frac{1}{4}+\Bigg( \frac{1}{4} \Bigg)^2 + \Bigg( \frac{1}{4} \Bigg)^3+\cdots = \frac{1}{3}
125_em_427	\left( M_i^j \right)
200923-1254-370	 { \mbox { k } \lt { \sigma } _ { G } } 
TrainData2_1_sub_98	\lim_{x \rightarrow \frac{1}{4}} \frac{1 - 4^{x - \frac{1}{4}}}{1 - 4 x}
200922-949-35	 { - { 3 s } } 
formulaire033-equation071	y(0) = y_0
2009213-139-88	 0.7 
200923-1253-2	 \int e ^ { x ^ 2 } x ^ 3 d x 
2009212-1031-6	 36.4 
200924-1312-157	 6.5 
formulaire001-equation023	e^{-1}
KME2G3_8_sub_97	\lim_{z \rightarrow 0} \frac 1 {\log_a ( 1 + z )^{\frac 1 z}}
200926-131-239	 9.7 
formulaire014-equation034	a z_{ij}
formulaire026-equation021	\frac{1}{r^n}
200923-1253-79	 \frac { \frac { \frac { x_4 } { x_3 } } { x_2 } } { x_1 } 
126_em_462	uu^{\prime}+vv^{\prime}+ww^{\prime} = 0
TrainData2_7_sub_20	a + b + c + d + e
formulaire034-equation016	\frac{e}{3}
MfrDB2993	\lim_{n \to \infty} ( x_{n}  y_{n} ) = L_{1}  L_{2}
formulaire039-equation027	\theta_{min}
formulaire013-equation020	62 \pm 100 + (3 \times (0 + 40))
MfrDB1737	f ( x , y ) = \frac{x}{y} + x y
KME2G3_11_sub_30	\sum_{i = 2 n + 3 m}^{1 0} i x
200922-1017-43	 \frac { \pi r ^ 2 h } { 3 } 
32_em_222	\frac {da}{dc} = \frac {c}{a}
TrainData1_7_sub_24	a \left( n \right) = \sum^{n}_{k = 1} \left( - 1 \right)^{n - k} k !
200923-1254-107	 j 
TrainData2_21_sub_61	\int \left( 2^{x} - 3 e^{x} \right) d x
200923-1254-67	 \tan \left ( \frac { \pi } { 4 } \right ) = 1 
TrainData2_19_sub_13	\frac{\sin \theta + \cos \theta + \tan \theta}{x + y + z}
MfrDB1455	\frac{5 x - 7}{3} \leq 2 x + 5
formulaire007-equation049	\exists x
formulaire028-equation048	s^{n-2}
formulaire016-equation013	f(x) = 4x(1-x)
formulaire007-equation031	bd=Y
formulaire050-equation073	Y^{(n)}
2009212-1031-60	 { \Delta } _ { v } 
MfrDB1710	\int\limits_{0}^{1} \sqrt{x} dx
29_em_160	\sum a_j x_j
91_edwin	\sin \theta = \frac{y}{\sqrt{x^2 + y^2}}
KME2G3_0_sub_61	\int ( 2^x - 3 e^x ) d x
formulaire023-equation000	73  36 \neq -2
200923-1556-84	 \frac { x } { a + \frac { x } { b - \frac { x } { c } } } 
formulaire035-equation058	f_0(x)=x
200926-131-55	 \frac { 1 } { \sin \left ( x \right ) + 1 } 
28_em_133	3=\frac{3}{2}(3^1-1)=3
81_silas	A_{2k} = \frac{2RA_k}{2R + \sqrt{4R^2 + A^2_k}}
200922-1017-101	 \mbox { f } 
76_david	a = b \cos C + c \cos B
formulaire014-equation033	x^2-r=0
formulaire018-equation039	p = a (1 - e^2)
TrainData1_4_sub_9	\sin^{2} \theta + \cos^{2} \theta = 1
KME2G3_8_sub_53	\lim_{x \rightarrow 0} \frac {( 1 - \cos x ) ( 1 + \cos x )} {x^2 ( 1 + \cos x )}
200926-131-53	 { \mbox { xmx } } _ { \mbox { z } } 
MfrDB3143	\frac{1}{{n^{2}}} \leq \frac{1}{n - 1} - \frac{1}{n}
MfrDB1671	{3^{2}} - 1 = 8
MfrDB3116	g ( x , y ) = \sqrt[3]{x - y} + \sqrt{| x + y |}
200924-1331-292	 \mbox { q } 
KME2G3_1_sub_74	\int_{\log 3}^0 \frac 1 {e^t + 1} d t
TrainData1_8_sub_28	\left( z^{\frac{n}{2}} + y^{\frac{n}{2}} \right) \left( z^{\frac{n}{2}} - y^{\frac{n}{2}} \right) = x
35_em_15	1 \times 1 + 1 \times 2 + 2 \times 2
200925-1126-29	 { w } ^ { b } 
ritm_420_0	 548834 = 5 ^ {6} + 4 ^ {6} + 8 ^ {6} + 3 ^ {6} + 4 ^ 6 
KME2G3_13_sub_81	\pi \int_c^d \{ g ( y ) \}^2 d y
TrainData2_11_sub_9	\sqrt{b^{2} - 4 a c}
MfrDB2520	\int\limits_{0}^{1} \sqrt{x} dx
200923-1251-248	 { { - u } - \sqrt { e } } 
107_bruno	a^2 + b^2 = (a+bi)(a-bi)
2009210-947-5	 { { - I } - { w - \mbox { n } } } 
RIT_2014_143	 | x \parallel y | = | x y | 
formulaire011-equation050	118 \times 120 \neq -7084
MfrDB3385	\int\limits_{3}^{6} \int\limits_{2}^{4} 2 dx dy = 2 \cdot ( 6 - 3 ) \cdot ( 4 - 2 ) = 12
formulaire041-equation023	\theta (0) = 1
200923-1556-22	 C 
